num inputs,range,merge time,merge constant,bucket time,bucket constant,bucket avg high asym/1000,bucket avg low asym,merge avg asym,,bucket asym,merge asym,,,
60000,499983,244358,0.256581,225791,0.40321,1099051.2,170958.330036,245421.394277758,,225790.74543,244357.607607283,,559983,952360.492816237
61000,499983,250265,0.258088,224742,0.400622,1135991.532,171263.622036,249886.611569252,,224742.131426,250264.789818645,,560983,969687.818955724
62000,499983,256465,0.259833,224729,0.399886,1173542.448,171568.914036,254357.923881741,,224729.133938,256465.251713108,,561983,987038.796893036
63000,499983,253074,0.251962,216569,0.384681,1211703.948,171874.206036,258835.232899841,,216568.863423,253073.919673066,,562983,1004413.04511421
64000,499983,252802,0.247406,210414,0.373086,1250476.032,172179.498036,263318.443429686,,210414.161538,252801.972910791,,563983,1021810.19421837
65000,499983,259973,0.250159,213662,0.378174,1289858.7,172484.790036,267807.463252593,,213661.881042,259972.709139401,,564983,1039229.88634989
66000,499983,266149,0.251875,197342,0.348671,1329851.952,172790.082036,272302.202987713,,197341.858593,266149.203243836,,565983,1056671.77466536
67000,499983,275642,0.256618,209446,0.369404,1370455.788,173095.374036,276802.575963026,,209445.788132,275642.509598367,,566983,1074135.52283303
68000,499983,267797,0.245321,202225,0.356041,1411670.208,173400.666036,281308.49809403,,202225.235303,267797.507395965,,567983,1091620.80456204
69000,499983,286081,0.257933,196721,0.345741,1453495.212,173705.958036,285819.887769565,,196720.751403,286080.532685808,,568983,1109127.30315938
70000,499983,278416,0.247117,188962,0.331522,1495930.8,174011.250036,290336.665744267,,188961.904126,278415.532245986,,569983,1126654.71111249
71000,499983,287864,0.251585,197430,0.345772,1538976.972,174316.542036,294858.755037159,,197429.933876,287864.243750528,,570983,1144202.72969584
72000,499983,291383,0.250809,200409,0.350376,1582633.728,174621.834036,299386.080835958,,200409.115608,291382.639944376,,571983,1161771.06859952
73000,499983,303525,0.257364,197224,0.344206,1626901.068,174927.126036,303918.570406707,,197224.186498,303524.664351884,,572983,1179359.44557857
74000,499983,307452,0.256859,218385,0.380473,1671778.992,175232.418036,308456.153008348,,218385.033959,307451.897203592,,573983,1196967.58612154
75000,499983,307970,0.253558,214631,0.373282,1717267.5,175537.710036,312998.759811919,,214630.804206,307970.335588133,,574983,1214595.22313685
76000,499983,302516,0.2455,202652,0.351837,1763366.592,175843.002036,317546.323824066,,202652.130771,302515.434729056,,575983,1232242.09665603
77000,499983,313065,0.25047,212427,0.368169,1810076.268,176148.294036,322098.779814569,,212427.254127,313064.445126292,,576983,1249907.95355249
78000,499983,320356,0.252728,215378,0.372637,1857396.528,176453.586036,326656.064247647,,215377.851171,320356.12928769,,577983,1267592.5472749
79000,499983,322664,0.251043,221160,0.38198,1905327.372,176758.878036,331218.115216775,,221159.92634,322664.472748585,,578983,1285295.6375943
80000,499983,325883,0.250099,221911,0.382616,1953868.8,177064.170036,335784.872382811,,221910.775528,325883.246273035,,579983,1303016.99036396
81000,499983,319040,0.241559,211477,0.363999,2003020.812,177369.462036,340356.276915209,,211477.231017,319040.589742105,,580983,1320756.37729128
82000,499983,328550,0.245459,220085,0.378164,2052783.408,177674.754036,344932.271436144,,220085.019212,328550.203782895,,581983,1338513.57572097
83000,499983,343876,0.253542,233101,0.399842,2103156.588,177980.046036,349512.799967351,,233101.088686,343876.065508162,,582983,1356288.36842875
84000,499983,348571,0.253676,232375,0.397914,2154140.352,178285.338036,354097.807879544,,232375.011462,348571.255933888,,583983,1374080.54342503
85000,499983,378337,0.271815,259613,0.443796,2205734.7,178590.630036,358687.241844221,,259613.115468,378336.551474544,,584983,1391889.89376798
86000,499983,364937,0.258873,241180,0.411582,2257939.632,178895.922036,363281.049787762,,241180.055106,364937.46634319,,585983,1409716.21738532
87000,499983,362677,0.254054,237025,0.403802,2310755.148,179201.214036,367879.180847641,,237024.909366,362677.154696841,,586983,1427559.31690444
88000,499983,349387,0.24172,232983,0.396241,2364181.248,179506.506036,372481.585330663,,232982.971903,349386.680556806,,587983,1445418.99949035
89000,499983,360804,0.24657,242788,0.412216,2418217.932,179811.798036,377088.214673101,,242788.216328,360804.667059684,,588983,1463295.07669094
90000,499983,361843,0.244293,242674,0.411324,2472865.2,180117.090036,381699.021402613,,242674.167492,361843.704784316,,589983,1481187.36428926
91000,499983,361139,0.240905,240742,0.407359,2528123.052,180422.382036,386313.959101868,,240742.243897,361139.645311316,,590983,1499095.68216233
92000,499983,378178,0.24929,252614,0.426725,2583991.488,180727.674036,390932.982373756,,252613.945675,378177.879440096,,591983,1517019.85414616
93000,499983,393948,0.25665,256202,0.432056,2640470.508,181032.966036,395556.04680812,,256201.863048,393947.409034234,,592983,1534959.70790662
94000,499983,404857,0.260708,264479,0.445264,2697560.112,181338.258036,400183.108949917,,264479.246512,404857.383325113,,593983,1552915.07481593
95000,499983,408196,0.259851,269872,0.453579,2755260.3,181643.550036,404814.126268729,,269871.794157,408196.243374243,,594983,1570885.78983434
96000,499983,403826,0.254159,267090,0.44815,2813571.072,181948.842036,409449.05712957,,267089.78145,403826.040213717,,595983,1588871.69139679
97000,499983,404320,0.251619,276820,0.463698,2872492.428,182254.134036,414087.860764895,,276819.823134,404319.682099985,,596983,1606872.62130437
98000,499983,413711,0.254609,273919,0.458072,2932024.368,182559.426036,418730.49724777,,273919.268776,413711.216904118,,597983,1624888.42462018
99000,499983,411824,0.250666,264491,0.441567,2992166.892,182864.718036,423376.927466143,,264491.126361,411823.92141277,,598983,1642918.94956943
100000,499983,427198,0.257199,283560,0.472613,3052920,183170.010036,428027.113098142,,283559.765579,427198.292038467,,599983,1660964.04744368
MERGE AVERAGE CONSTANT: 0.257698,0.257698,,,,,,,,,,,,,
BUCKET AVERAGE CONSTANT: 0.305292,0.305292,,,,,,,,,,,,,
